set,map,episode,role,cluster,frames,lives,valid_fraction,motion_mean,n_eff,D,nearest,D_motion,nearest_motion,D_uniform,nearest_uniform,D_pooled,D_pooled_motion,D_pooled_uniform,d_2,d_3,d_4,d_5,d_motion_2,d_motion_3,d_motion_4,d_motion_5,d_uniform_2,d_uniform_3,d_uniform_4,d_uniform_5
arenas_678,6,60,primary,arena,250,8,0.954360228198859,44.42106563086738,222.05908210559076,0.15284690542861262,3,0.15284690542861262,3,0.1552979845213788,3,0.21223191903236832,0.21223191903236832,0.2138778061841022,0.2528377596287234,0.15284690542861262,0.2825338987330708,0.21893242912221497,0.2528377596287234,0.15284690542861262,0.2825338987330708,0.21893242912221497,0.25995479666121163,0.1552979845213788,0.2827359318128888,0.22093741990894122
arenas_678,6,63,primary,arena,250,9,0.947787069141342,52.941033271684134,241.9766376059053,0.1663071318797839,3,0.1663071318797839,3,0.1680248852508542,3,0.21891810289194827,0.21891810289194827,0.22296844082044123,0.2627262635695287,0.1663071318797839,0.28680774574407025,0.22830005543560128,0.2627262635695287,0.1663071318797839,0.28680774574407025,0.22830005543560128,0.2711887454097076,0.1680248852508542,0.29343103201728254,0.22858373858552916
arenas_678,6,66,primary,arena,250,10,0.9407894736842105,52.147903136093404,241.21720627063786,0.18865715296183158,3,0.18865715296183158,3,0.18632712694803746,3,0.24045891591211555,0.24045891591211555,0.24095338533363767,0.27875077283374194,0.18865715296183158,0.31149627839754856,0.24222573050272184,0.27875077283374194,0.18865715296183158,0.31149627839754856,0.24222573050272184,0.284234939799899,0.18632712694803746,0.3139742868578901,0.23996556369895813
arenas_678,6,69,primary,arena,250,10,0.9407894736842105,50.96721963324164,237.26688551618187,0.14777700579430256,3,0.14777700579430256,3,0.14837698787715625,3,0.2052492463567969,0.2052492463567969,0.20664375314610173,0.24894984777031712,0.14777700579430256,0.27498053631191377,0.21797483792468364,0.24894984777031712,0.14777700579430256,0.27498053631191377,0.21797483792468364,0.2555099081752951,0.14837698787715625,0.2779213106943938,0.217880216478336
arenas_678,6,72,primary,arena,250,6,0.9681274900398407,51.750472121115216,240.36785668782395,0.1685001253874625,3,0.1685001253874625,3,0.16760017230102423,3,0.21871610280850673,0.21871610280850673,0.21957912501901938,0.25838538915908776,0.1685001253874625,0.28531452198049034,0.23032341566153408,0.25838538915908776,0.1685001253874625,0.28531452198049034,0.23032341566153408,0.26407019587877334,0.16760017230102423,0.2878061229355879,0.22902926837532328
arenas_678,6,75,primary,arena,250,10,0.9406552647846693,50.50608623269337,240.12444314964347,0.1610765394536536,3,0.1610765394536536,3,0.16075443670440548,3,0.21348600599943948,0.21348600599943948,0.21374623454162384,0.2544826998178811,0.1610765394536536,0.2848021643125567,0.22037718037397103,0.2544826998178811,0.1610765394536536,0.2848021643125567,0.22037718037397103,0.259678097709293,0.16075443670440548,0.28688311546759454,0.21849320030977284
arenas_678,6,78,primary,arena,250,7,0.9614535233888777,47.462155988638585,229.6840928735935,0.14768535267968821,3,0.14768535267968821,3,0.1412849137136251,3,0.18382124778582265,0.18382124778582265,0.17289321447119135,0.23040535659383238,0.14768535267968821,0.2531250558707582,0.19602865328069533,0.23040535659383238,0.14768535267968821,0.2531250558707582,0.19602865328069533,0.22407963952883608,0.1412849137136251,0.24152725102987432,0.1868031807246056
arenas_678,6,81,primary,arena,250,8,0.9546742209631728,52.16584391490987,240.48991228333873,0.14285577824031298,3,0.14285577824031298,3,0.14094032410704524,3,0.19308903247278061,0.19308903247278061,0.19196694535056694,0.2409528139528933,0.14285577824031298,0.25893673981191373,0.21006418919395883,0.2409528139528933,0.14285577824031298,0.25893673981191373,0.21006418919395883,0.24383303048574595,0.14094032410704524,0.26114211872311344,0.20635720635456162
arenas_678,6,84,primary,arena,250,8,0.9546742209631728,51.646990720079984,240.2989015204003,0.15430792240585223,3,0.15430792240585223,3,0.15276651042068845,3,0.2073703910887994,0.2073703910887994,0.2061252538601389,0.25199169121298753,0.15430792240585223,0.27641388684732215,0.218428072629084,0.25199169121298753,0.15430792240585223,0.27641388684732215,0.218428072629084,0.25608716516348623,0.15276651042068845,0.27756081956165707,0.21465602799490466
arenas_678,6,87,primary,arena,250,3,0.9875413665563558,34.90328623262116,191.89586742117524,0.17908454313603844,3,0.17908454313603844,3,0.1986109266466213,3,0.21665154927346642,0.21665154927346642,0.23948835501849303,0.2588352355870329,0.17908454313603844,0.2805137503028282,0.22916886521688024,0.2588352355870329,0.17908454313603844,0.2805137503028282,0.22916886521688024,0.27938059974782303,0.1986109266466213,0.2928573914763099,0.25560310409737425
