set,map,episode,role,cluster,frames,lives,valid_fraction,motion_mean,n_eff,D,nearest,D_motion,nearest_motion,D_uniform,nearest_uniform,D_pooled,D_pooled_motion,D_pooled_uniform,d_2,d_3,d_4,d_5,d_motion_2,d_motion_3,d_motion_4,d_motion_5,d_uniform_2,d_uniform_3,d_uniform_4,d_uniform_5
arenas_678,6,60,primary,arena,250,8,0.954360228198859,41.10867880363259,205.27824446001657,0.05732785469324606,3,0.05732785469324606,3,0.05594967417862853,3,0.07042869277070604,0.07042869277070604,0.07128657268981596,0.08248685208640803,0.05732785469324606,0.0823654821402571,0.07368888527872032,0.08248685208640803,0.05732785469324606,0.0823654821402571,0.07368888527872032,0.08401055362582976,0.05594967417862853,0.0845413503908055,0.07445558494760868
arenas_678,6,63,primary,arena,250,9,0.947787069141342,48.129611654382266,233.0614732068547,0.06758040558125632,3,0.06758040558125632,3,0.06570624138531951,3,0.07859514386152376,0.07859514386152376,0.08004929962672436,0.09212813523507474,0.06758040558125632,0.08830231357986336,0.08132589035334574,0.09212813523507474,0.06758040558125632,0.08830231357986336,0.08132589035334574,0.09439348392866177,0.06570624138531951,0.09349675347288476,0.08069518743469252
arenas_678,6,66,primary,arena,250,10,0.9407894736842105,51.21810524641469,226.43051800364623,0.08125102847634606,3,0.08125102847634606,3,0.07320732298986789,3,0.08817348766613044,0.08817348766613044,0.08421008295609658,0.10099401388366099,0.08125102847634606,0.09663331273977367,0.08873505990629535,0.10099401388366099,0.08125102847634606,0.09663331273977367,0.08873505990629535,0.09759350214103524,0.07320732298986789,0.0976106733832004,0.08285925114393759
arenas_678,6,69,primary,arena,250,10,0.9407894736842105,45.931514346230166,224.19747899068943,0.057337098570576964,3,0.057337098570576964,3,0.05680488148532709,3,0.07152695090577431,0.07152695090577431,0.0730412204161782,0.08426972210246512,0.057337098570576964,0.08352946905726932,0.07567244146433841,0.08426972210246512,0.057337098570576964,0.08352946905726932,0.07567244146433841,0.08714114203474732,0.05680488148532709,0.0874211260308006,0.07578788542393317
arenas_678,6,72,primary,arena,250,6,0.9681274900398407,46.51690618620461,222.29445816143792,0.07252076382071788,3,0.07252076382071788,3,0.06612734449240455,3,0.08093747487815822,0.08093747487815822,0.07766154367367623,0.0947175968256812,0.07252076382071788,0.08903105900045828,0.08305511585884205,0.0947175968256812,0.07252076382071788,0.08903105900045828,0.08305511585884205,0.09189913013045325,0.06612734449240455,0.09001408898116657,0.07789469013300486
arenas_678,6,75,primary,arena,250,10,0.9406552647846693,49.130221102829715,230.15600465725382,0.06221227141572024,3,0.06221227141572024,3,0.05884081077966173,3,0.07161600964584734,0.07161600964584734,0.07078983293371603,0.08502049230168633,0.06221227141572024,0.08220976975672491,0.073769445993451,0.08502049230168633,0.06221227141572024,0.08220976975672491,0.073769445993451,0.08526603249217912,0.05884081077966173,0.08504204946379278,0.07142334899802122
arenas_678,6,78,primary,arena,250,7,0.9614535233888777,44.49658888085534,210.51111254097043,0.06467283563170807,3,0.06467283563170807,3,0.052714368609030934,3,0.06701512261747285,0.06701512261747285,0.05393305295901187,0.08232612638588337,0.06467283563170807,0.07402098627371063,0.07010753404201481,0.08232612638588337,0.06467283563170807,0.07402098627371063,0.07010753404201481,0.0689143110638622,0.052714368609030934,0.06591099009961351,0.056635368071503864
arenas_678,6,81,primary,arena,250,8,0.9546742209631728,45.23437463318242,230.85005103003175,0.0571683975035674,3,0.0571683975035674,3,0.054382998876133314,3,0.06779836263862292,0.06779836263862292,0.06681593425640185,0.08046910761506304,0.0571683975035674,0.07892718216621251,0.07116917422460992,0.08046910761506304,0.0571683975035674,0.07892718216621251,0.07116917422460992,0.0810812961671358,0.054382998876133314,0.08056563584747975,0.06860416212570235
arenas_678,6,84,primary,arena,250,8,0.9546742209631728,47.54539040262354,231.23206623636688,0.061783811786592646,3,0.061783811786592646,3,0.059457206085817976,3,0.07299547625216415,0.07299547625216415,0.07268097682168757,0.08692459325881366,0.061783811786592646,0.08327256723091475,0.07698908620131807,0.08692459325881366,0.061783811786592646,0.08327256723091475,0.07698908620131807,0.0872568401203452,0.059457206085817976,0.0871070220592221,0.07432381615863752
arenas_678,6,87,primary,arena,250,3,0.9875413665563558,30.699647914248395,182.8871666507662,0.07002090955380814,3,0.07002090955380814,3,0.07130959361481459,3,0.0805153065336691,0.0805153065336691,0.08431566598450835,0.09342033577018598,0.07002090955380814,0.08891718098007663,0.0857199621689077,0.09342033577018598,0.07002090955380814,0.08891718098007663,0.0857199621689077,0.0942791380267344,0.07130959361481459,0.09429984722028908,0.08946842262481011
