index,episode,map,start,action,psnr_dec,lpips_dec,copy_psnr_dec,latent_mse,hud_psnr_dec,psnr_raw,lpips_raw,copy_psnr_raw,vae_psnr,vae_lpips,hud_psnr_raw,hud_vae_psnr
190,0,1,501,9,25.61001205444336,0.21190683543682098,22.282604217529297,0.2960326075553894,34.501564025878906,23.816282272338867,0.22506657242774963,21.341745376586914,27.643390655517578,0.0657937228679657,31.447956085205078,33.550445556640625
302,0,1,709,7,20.548221588134766,0.3036711812019348,17.518787384033203,0.32056328654289246,33.721500396728516,19.67076873779297,0.3134256601333618,16.97745704650879,26.53158187866211,0.06289460510015488,28.376829147338867,29.239351272583008
441,1,2,7,9,24.631044387817383,0.3547608256340027,19.046802520751953,0.3655727803707123,32.67473220825195,22.038576126098633,0.38374412059783936,18.17165756225586,24.45183753967285,0.1003507673740387,30.456153869628906,32.47004318237305
503,1,2,69,28,15.731327056884766,0.503558874130249,15.925165176391602,0.5180015563964844,32.627967834472656,15.388236999511719,0.5069432258605957,15.574895858764648,27.053386688232422,0.050316352397203445,31.095182418823242,33.09893798828125
507,1,2,73,2,21.42450714111328,0.2959670424461365,17.398826599121094,0.3266846537590027,32.06465148925781,20.072185516357422,0.328458309173584,16.798974990844727,25.194095611572266,0.0686391144990921,30.077695846557617,33.255088806152344
713,1,2,343,22,17.281267166137695,0.4369160830974579,16.12302589416504,0.4476342797279358,36.850486755371094,16.893835067749023,0.45829612016677856,15.775821685791016,26.532459259033203,0.056520186364650726,33.38334655761719,34.3028678894043
757,1,2,387,6,24.752765655517578,0.22793222963809967,20.533523559570312,0.3187028467655182,32.549320220947266,23.70648193359375,0.23628100752830505,20.023649215698242,29.159757614135742,0.04191017523407936,30.33819007873535,33.505313873291016
777,1,2,407,9,22.741043090820312,0.27644211053848267,18.606002807617188,0.34556108713150024,33.045536041259766,21.896751403808594,0.2870309054851532,18.20374870300293,28.167789459228516,0.05915290489792824,30.134069442749023,32.22050476074219
789,1,2,419,7,22.427528381347656,0.33243513107299805,20.8261661529541,0.3682366609573364,27.852474212646484,21.918563842773438,0.3425588309764862,20.42902946472168,30.351755142211914,0.05457375943660736,26.4359188079834,30.651037216186523
875,1,2,537,22,18.876964569091797,0.35396963357925415,20.67559051513672,0.4027426838874817,24.99971580505371,18.448911666870117,0.36884695291519165,20.059175491333008,27.976247787475586,0.0503377765417099,24.537599563598633,32.634002685546875
918,1,2,580,5,25.059528350830078,0.1495465636253357,23.48273468017578,0.2564471662044525,36.65789794921875,22.647300720214844,0.17847317457199097,21.627105712890625,25.360794067382812,0.08304668962955475,32.37330627441406,33.202842712402344
1101,1,2,795,22,19.600299835205078,0.32240933179855347,16.95602035522461,0.3664792478084564,35.00545883178711,19.102331161499023,0.33732616901397705,16.6542911529541,27.474098205566406,0.05699564889073372,30.875289916992188,31.316585540771484
1132,1,2,826,18,17.051021575927734,0.31134018301963806,17.55677604675293,0.3801383674144745,34.09825897216797,16.67862319946289,0.3319707214832306,17.108667373657227,27.061691284179688,0.04783278703689575,30.40125846862793,31.094039916992188
1183,1,2,909,7,23.648557662963867,0.23175466060638428,22.30251121520996,0.3355216085910797,35.18647384643555,22.800045013427734,0.2515135705471039,21.691757202148438,29.506242752075195,0.05450901761651039,31.801546096801758,33.051700592041016
1190,1,2,916,5,25.67743682861328,0.19092892110347748,21.758527755737305,0.3097270429134369,35.652252197265625,24.53340721130371,0.2013368308544159,21.257492065429688,29.480371475219727,0.05761755630373955,32.662654876708984,32.581390380859375
1212,1,2,938,9,24.015810012817383,0.15924601256847382,23.209636688232422,0.31909188628196716,33.567665100097656,23.26934051513672,0.1727491319179535,22.592859268188477,29.82305908203125,0.053178269416093826,31.404830932617188,32.56100082397461
1247,1,2,973,9,26.914213180541992,0.2053356170654297,24.85245132446289,0.29247990250587463,33.57966613769531,25.520427703857422,0.21872299909591675,23.951576232910156,30.063701629638672,0.05310214310884476,30.376266479492188,32.4896240234375
1295,1,2,1021,9,20.17550277709961,0.3076782822608948,19.882484436035156,0.365859717130661,32.83921813964844,19.650968551635742,0.32074055075645447,19.348114013671875,27.590639114379883,0.06036284938454628,29.018272399902344,29.786394119262695
1405,1,2,1163,5,24.547866821289062,0.19244201481342316,22.79604148864746,0.314235657453537,35.58641815185547,23.589656829833984,0.2094287872314453,22.135343551635742,29.616069793701172,0.05235527455806732,31.501100540161133,31.918548583984375
1567,2,3,101,14,19.756933212280273,0.32597023248672485,17.203542709350586,0.34142953157424927,35.01509094238281,19.223169326782227,0.3324390649795532,16.886932373046875,27.695085525512695,0.046993616968393326,30.039993286132812,31.463916778564453
1594,2,3,128,7,25.072704315185547,0.172276571393013,24.237136840820312,0.27772244811058044,33.0495491027832,24.07478141784668,0.19473861157894135,23.399457931518555,30.202722549438477,0.046814803034067154,29.036453247070312,31.142045974731445
1650,2,3,184,9,26.732067108154297,0.27630773186683655,23.052778244018555,0.29991647601127625,35.62702560424805,25.364477157592773,0.29993876814842224,22.39900779724121,29.667699813842773,0.07661114633083344,30.238513946533203,30.820964813232422
1696,2,3,230,15,25.920032501220703,0.2366703748703003,23.203231811523438,0.2631761133670807,35.79092788696289,24.544694900512695,0.24230138957500458,22.369548797607422,29.22206687927246,0.04570075869560242,29.909896850585938,31.058900833129883
1699,2,3,233,15,26.45554542541504,0.2991924285888672,22.600120544433594,0.3375696539878845,35.26005554199219,25.26663589477539,0.3219222128391266,22.13629913330078,30.401771545410156,0.08193369209766388,29.438446044921875,30.322982788085938
2008,2,3,638,18,20.83850860595703,0.1895175725221634,18.276140213012695,0.20638906955718994,32.713382720947266,20.230289459228516,0.20020908117294312,17.923051834106445,27.98385238647461,0.04273104667663574,30.706045150756836,33.3865966796875
2166,2,3,860,8,23.288362503051758,0.21844038367271423,17.42096519470215,0.29945501685142517,28.62688446044922,22.033496856689453,0.2346523255109787,17.022438049316406,26.976600646972656,0.0599491149187088,27.480201721191406,33.630470275878906
2213,2,3,939,8,18.57093620300293,0.31467345356941223,16.191497802734375,0.36802732944488525,21.425010681152344,18.09759521484375,0.32123440504074097,15.894140243530273,27.74692726135254,0.06504730880260468,21.071805953979492,31.962072372436523
2329,2,3,1087,14,18.69155502319336,0.3687610626220703,15.895246505737305,0.3185127079486847,25.271949768066406,18.109601974487305,0.3810192346572876,15.527342796325684,26.602087020874023,0.06162308529019356,24.647531509399414,33.57997512817383
2408,2,3,1166,7,19.618608474731445,0.31300583481788635,17.563217163085938,0.35680708289146423,33.93110656738281,19.099435806274414,0.32785800099372864,17.229433059692383,27.98781967163086,0.04628610983490944,30.83254051208496,32.938621520996094
2530,3,4,74,2,20.709815979003906,0.27133509516716003,18.1566162109375,0.3331472873687744,33.50469970703125,20.369903564453125,0.27581143379211426,17.988819122314453,30.582178115844727,0.04183930158615112,30.40264129638672,33.48802947998047
2565,3,4,109,7,24.55841064453125,0.17273850739002228,22.417585372924805,0.31398671865463257,34.47222900390625,23.725303649902344,0.18110258877277374,21.774091720581055,30.10543441772461,0.04402310773730278,30.45924186706543,32.539215087890625
2652,3,4,196,7,25.797502517700195,0.27195489406585693,23.768661499023438,0.30009135603904724,35.54364013671875,25.00347328186035,0.2890687584877014,23.16702651977539,31.680984497070312,0.04840404912829399,30.742965698242188,30.885591506958008
2737,3,4,281,9,29.17475128173828,0.15231303870677948,22.45396614074707,0.2569434642791748,36.032379150390625,27.781274795532227,0.16601808369159698,22.090164184570312,32.41584396362305,0.034245528280735016,30.17599868774414,30.62384033203125
2807,3,4,351,5,28.524415969848633,0.11860519647598267,24.38674545288086,0.22842860221862793,34.56029510498047,27.1164608001709,0.1326519399881363,23.765392303466797,32.12458038330078,0.037479255348443985,29.60993003845215,30.90500831604004
2816,3,4,360,5,24.618330001831055,0.12459847331047058,19.66840171813965,0.25518566370010376,31.859928131103516,23.766216278076172,0.14142756164073944,19.37622833251953,31.063114166259766,0.03795517608523369,28.732975006103516,31.275388717651367
2838,3,4,382,7,23.61701774597168,0.19973480701446533,19.713388442993164,0.2922848165035248,32.29655838012695,22.85215187072754,0.21020936965942383,19.363773345947266,30.110137939453125,0.03990359976887703,28.841304779052734,31.515033721923828
2924,3,4,468,9,25.608579635620117,0.21227829158306122,24.372020721435547,0.29385247826576233,32.1574592590332,24.929162979125977,0.21634921431541443,23.8297176361084,32.271942138671875,0.036827828735113144,28.668254852294922,30.165433883666992
2995,3,4,539,22,16.43263053894043,0.36010995507240295,15.921381950378418,0.45266494154930115,35.130619049072266,16.26746368408203,0.3643839359283447,15.816875457763672,29.53961181640625,0.03472638130187988,29.323633193969727,30.312480926513672
3211,3,4,755,9,27.469058990478516,0.21302947402000427,23.29080581665039,0.27657949924468994,36.73719024658203,26.084489822387695,0.22652141749858856,22.658079147338867,31.231708526611328,0.04163816198706627,28.736602783203125,29.643821716308594
3256,3,4,832,22,12.649024963378906,0.5109838843345642,13.388954162597656,0.5598655343055725,20.863924026489258,12.541399955749512,0.5159783959388733,13.24750804901123,28.36432456970215,0.04363302141427994,20.56665802001953,31.69649887084961
3485,3,4,1093,5,25.789691925048828,0.1963578462600708,25.23877716064453,0.30466386675834656,26.2431697845459,25.26557159423828,0.19904936850070953,24.717647552490234,33.118408203125,0.03195110335946083,24.992767333984375,30.09090232849121
3537,3,4,1145,27,18.942087173461914,0.3571816682815552,15.662696838378906,0.4261501729488373,28.883129119873047,18.613746643066406,0.3684607744216919,15.513704299926758,29.13034439086914,0.04741746932268143,27.413982391357422,31.298553466796875
3634,3,4,1242,7,24.484140396118164,0.27757421135902405,24.215682983398438,0.32220888137817383,34.51898193359375,23.987810134887695,0.276344895362854,23.727476119995117,32.57463073730469,0.04546596109867096,30.25283432006836,31.069255828857422
3675,4,5,22,22,14.969898223876953,0.38808417320251465,14.000073432922363,0.5114619135856628,34.005104064941406,14.738447189331055,0.3936135768890381,13.813573837280273,27.495586395263672,0.03848475590348244,30.641414642333984,31.802186965942383
3785,4,5,132,6,22.309473037719727,0.1965150088071823,22.821008682250977,0.40075063705444336,30.515865325927734,21.142066955566406,0.21068879961967468,21.473461151123047,26.76647186279297,0.04951286315917969,27.190635681152344,28.33951187133789
