index,episode,map,start,action,psnr_dec,lpips_dec,copy_psnr_dec,latent_mse,hud_psnr_dec,psnr_raw,lpips_raw,copy_psnr_raw,vae_psnr,vae_lpips,hud_psnr_raw,hud_vae_psnr
48,0,16,48,5,22.714502334594727,0.35494279861450195,22.491622924804688,0.36165621876716614,35.27878189086914,22.200822830200195,0.3653300106525421,22.04863739013672,31.34088134765625,0.04755931347608566,30.565963745117188,31.66307830810547
69,0,16,69,15,21.922636032104492,0.4234877824783325,20.82839584350586,0.3587345778942108,33.48149108886719,21.35101318359375,0.433244526386261,20.374792098999023,30.05573272705078,0.05052303522825241,30.641544342041016,32.428611755371094
88,0,16,88,7,18.051549911499023,0.4927181601524353,19.006425857543945,0.40125712752342224,32.780914306640625,17.86355972290039,0.49554693698883057,18.745433807373047,31.028152465820312,0.04302008077502251,30.36172866821289,32.2767333984375
154,0,16,154,15,21.315401077270508,0.3680865168571472,20.116455078125,0.3820232152938843,35.678184509277344,20.411277770996094,0.3696078956127167,19.42350959777832,27.215662002563477,0.04149084910750389,31.24579620361328,31.70648193359375
156,0,16,156,6,19.45048713684082,0.33198878169059753,20.3896484375,0.3955325186252594,35.143829345703125,18.73105812072754,0.34471920132637024,19.50452995300293,26.764507293701172,0.045700281858444214,32.13029098510742,32.477806091308594
308,0,16,372,22,19.418872833251953,0.5076237320899963,19.037662506103516,0.4210631549358368,31.438583374023438,18.942476272583008,0.5326957702636719,18.570573806762695,27.65076446533203,0.06694433838129044,30.395153045654297,30.41274642944336
322,0,16,386,9,21.764833450317383,0.3796594440937042,20.425966262817383,0.41370877623558044,34.193328857421875,20.68218421936035,0.40310072898864746,19.569124221801758,26.30496597290039,0.07125372439622879,31.0911865234375,31.488731384277344
452,0,16,516,9,18.482009887695312,0.48252320289611816,17.968952178955078,0.4180549681186676,31.34075927734375,17.778038024902344,0.49318867921829224,17.316463470458984,25.180194854736328,0.06129251420497894,28.59345245361328,29.385061264038086
536,0,16,600,15,19.149381637573242,0.4463329315185547,13.901985168457031,0.39899030327796936,29.524715423583984,18.434471130371094,0.45369967818260193,13.667448043823242,26.30674171447754,0.0467318519949913,27.24319076538086,28.213970184326172
701,0,16,765,9,13.70235824584961,0.45615512132644653,15.859834671020508,0.4517829120159149,28.14298439025879,13.432812690734863,0.48279300332069397,15.429349899291992,25.198070526123047,0.06609655171632767,25.56319808959961,27.977054595947266
763,0,16,827,22,16.943117141723633,0.456084281206131,17.21463966369629,0.4841582477092743,29.941465377807617,16.240690231323242,0.4866279065608978,16.46126937866211,23.94405174255371,0.09004571288824081,27.191139221191406,28.496936798095703
772,0,16,836,9,18.958141326904297,0.4833466112613678,16.49820327758789,0.4604146182537079,21.667329788208008,18.087827682495117,0.49647194147109985,15.951367378234863,25.169971466064453,0.06512659788131714,20.90970802307129,27.73479461669922
798,0,16,862,6,21.155792236328125,0.2519884705543518,21.84556007385254,0.36746466159820557,29.109325408935547,20.556095123291016,0.2627983093261719,21.092626571655273,28.15364646911621,0.04226023703813553,26.119564056396484,27.146259307861328
821,0,16,917,5,24.959701538085938,0.34980159997940063,22.45395851135254,0.32218459248542786,34.34549331665039,23.233474731445312,0.3621935546398163,21.308597564697266,26.868633270263672,0.08326733112335205,30.023019790649414,30.114152908325195
913,0,16,1009,15,22.088098526000977,0.4470500946044922,22.658935546875,0.4161604940891266,28.19390296936035,21.03305435180664,0.46417471766471863,21.423694610595703,26.445053100585938,0.07605281472206116,25.920429229736328,27.872913360595703
914,0,16,1010,15,23.371793746948242,0.4475537836551666,21.779766082763672,0.42066699266433716,28.305850982666016,21.934574127197266,0.4636760354042053,20.705564498901367,26.30059242248535,0.07819073647260666,25.937908172607422,27.991464614868164
927,0,16,1023,15,22.89377212524414,0.4005531370639801,19.644010543823242,0.37190762162208557,28.67612075805664,21.613136291503906,0.4135655164718628,18.896595001220703,26.174123764038086,0.08806481212377548,26.83477210998535,26.459062576293945
964,0,16,1060,15,24.821805953979492,0.4568246006965637,23.675457000732422,0.3703990876674652,28.791080474853516,23.02581024169922,0.46975958347320557,22.06856918334961,26.553876876831055,0.09587176144123077,26.202392578125,26.59781265258789
1086,0,16,1214,22,18.04958152770996,0.467604398727417,16.915510177612305,0.439779669046402,34.07764434814453,17.377153396606445,0.4682828187942505,16.336467742919922,25.096420288085938,0.07619412243366241,29.99110984802246,29.795093536376953
1190,1,17,76,14,17.410030364990234,0.5006425380706787,15.013228416442871,0.4540550410747528,35.022315979003906,16.85584831237793,0.5221072435379028,14.699413299560547,26.1082763671875,0.08177334815263748,30.40683937072754,31.151290893554688
1195,1,17,81,15,20.499195098876953,0.34984010457992554,17.14592742919922,0.38046106696128845,25.286537170410156,19.03754425048828,0.36124369502067566,16.39515495300293,23.944128036499023,0.07903127372264862,24.20872688293457,31.183259963989258
1205,1,17,91,9,23.02117156982422,0.3920660614967346,20.76012420654297,0.42481181025505066,34.597984313964844,21.91396713256836,0.3969930410385132,20.056053161621094,27.829193115234375,0.07849229872226715,29.629779815673828,30.647363662719727
1284,1,17,170,9,20.50678062438965,0.4246453642845154,20.825855255126953,0.40911760926246643,33.95656967163086,19.566688537597656,0.4492116868495941,19.77474594116211,25.940261840820312,0.07330121099948883,29.142837524414062,30.517311096191406
1438,1,17,324,15,18.212608337402344,0.4720504879951477,20.06157875061035,0.44565993547439575,34.40391159057617,17.643796920776367,0.48529893159866333,19.2152099609375,26.686351776123047,0.05779443681240082,27.638885498046875,28.484800338745117
1524,1,17,442,6,21.798341751098633,0.3886592388153076,19.930389404296875,0.451822429895401,32.023624420166016,20.446338653564453,0.3965776562690735,18.955862045288086,25.415782928466797,0.0851391926407814,29.384532928466797,31.009523391723633
1620,1,17,538,5,21.949251174926758,0.3567744195461273,21.830345153808594,0.36375918984413147,23.02295684814453,21.320993423461914,0.3632635176181793,21.252099990844727,29.666831970214844,0.03862746059894562,22.578086853027344,32.09424591064453
1700,1,17,618,9,21.032794952392578,0.36206555366516113,19.317203521728516,0.35316210985183716,35.07192611694336,19.996015548706055,0.37672752141952515,18.591094970703125,25.951866149902344,0.0596364289522171,29.314306259155273,29.435110092163086
1728,1,17,678,5,21.53386878967285,0.4997837543487549,21.832382202148438,0.43369850516319275,34.78250503540039,20.686635971069336,0.5135900974273682,20.839635848999023,27.543859481811523,0.07270225137472153,30.968891143798828,32.01258087158203
1741,1,17,691,20,16.617464065551758,0.4506065249443054,16.559249877929688,0.42319726943969727,34.702308654785156,16.372615814208984,0.4627053439617157,16.2862548828125,27.763214111328125,0.04227444529533386,29.798728942871094,30.434206008911133
1801,1,17,751,15,18.351640701293945,0.44284695386886597,17.37837028503418,0.46522003412246704,33.105743408203125,17.919275283813477,0.44923529028892517,17.02667999267578,28.75056266784668,0.0523628294467926,29.096202850341797,30.003562927246094
1832,1,17,782,5,19.671146392822266,0.4146254062652588,21.51763153076172,0.45020246505737305,30.14590072631836,19.02473258972168,0.4163989722728729,20.509042739868164,26.732810974121094,0.07663295418024063,27.582454681396484,29.504806518554688
1876,1,17,826,5,21.440780639648438,0.3752971291542053,21.346940994262695,0.40951815247535706,33.50413131713867,20.407135009765625,0.4028906226158142,20.31642723083496,26.664615631103516,0.07727409154176712,29.48328399658203,30.51311492919922
1884,1,17,834,7,19.83464813232422,0.4394877552986145,19.995332717895508,0.41110822558403015,22.30738067626953,19.01235580444336,0.4552246928215027,19.10041618347168,25.97256088256836,0.07468832284212112,21.741178512573242,30.05215835571289
1943,1,17,893,15,16.26233673095703,0.4497908651828766,14.54399585723877,0.5193973779678345,21.81707191467285,15.833900451660156,0.4607035517692566,14.258066177368164,25.426631927490234,0.05929804593324661,21.548032760620117,30.531414031982422
1983,1,17,933,9,21.8463134765625,0.38675087690353394,19.841279983520508,0.40649276971817017,33.07404327392578,20.698932647705078,0.38793620467185974,19.026174545288086,26.67426109313965,0.062157317996025085,29.230939865112305,30.328065872192383
1984,1,17,934,9,21.052364349365234,0.39546746015548706,19.66918182373047,0.38584446907043457,34.829368591308594,20.10173797607422,0.41568419337272644,18.89299201965332,26.517431259155273,0.0668875128030777,30.050125122070312,30.038326263427734
2008,1,17,958,9,22.254169464111328,0.28156542778015137,19.43862533569336,0.3967631459236145,34.56280517578125,20.972978591918945,0.3117509186267853,18.666288375854492,26.262165069580078,0.0789363831281662,29.618518829345703,30.00577735900879
2049,1,17,999,6,17.116485595703125,0.4242837727069855,18.58392333984375,0.4626910388469696,23.389741897583008,16.744657516479492,0.4365890622138977,18.024585723876953,27.880983352661133,0.06091790273785591,22.655479431152344,28.689594268798828
2051,1,17,1001,9,19.82146644592285,0.45711901783943176,18.523466110229492,0.4476776123046875,22.1450252532959,19.14257049560547,0.46119236946105957,17.993457794189453,27.369382858276367,0.06615060567855835,21.4902286529541,28.929574966430664
2052,1,17,1002,15,14.678829193115234,0.5381128787994385,19.507606506347656,0.5100941061973572,34.51568603515625,14.395045280456543,0.558979332447052,18.78245735168457,26.742887496948242,0.07214248180389404,28.802698135375977,28.814908981323242
2057,1,17,1007,6,14.501853942871094,0.4478878378868103,13.979596138000488,0.5033048391342163,30.82763671875,14.308931350708008,0.4676627218723297,13.796330451965332,26.780902862548828,0.04223880171775818,27.98628044128418,27.603853225708008
2092,1,17,1042,6,16.968481063842773,0.4195083677768707,16.163328170776367,0.46462732553482056,30.99643898010254,16.384355545043945,0.4252355396747589,15.661291122436523,24.829580307006836,0.058213844895362854,28.352394104003906,28.966970443725586
2156,1,17,1138,9,16.333200454711914,0.4466943144798279,16.11094856262207,0.39161258935928345,32.57820510864258,16.187532424926758,0.4516039788722992,15.981258392333984,31.14396095275879,0.03601909056305885,29.418537139892578,31.138507843017578
2158,1,17,1140,15,18.562713623046875,0.47306492924690247,17.356985092163086,0.4241725504398346,32.08808517456055,18.04804039001465,0.49142342805862427,16.949913024902344,26.6976375579834,0.0721987783908844,29.804182052612305,32.792457580566406
2179,1,17,1161,2,16.284669876098633,0.5408114790916443,14.972186088562012,0.5221313834190369,32.511077880859375,15.775823593139648,0.5425294637680054,14.581972122192383,25.37286949157715,0.06015613302588463,30.171630859375,32.22919845581055
2180,1,17,1162,4,16.62644386291504,0.48424214124679565,15.301409721374512,0.5279447436332703,35.14210510253906,16.181381225585938,0.4898430109024048,14.967671394348145,26.013879776000977,0.056390441954135895,31.465967178344727,32.23018264770508
2198,1,17,1180,2,16.304859161376953,0.5049088001251221,15.811952590942383,0.5189236998558044,35.2835693359375,15.913816452026367,0.5118977427482605,15.439738273620605,26.03211212158203,0.06019425019621849,31.732913970947266,33.00688552856445
2226,1,17,1208,24,20.51355743408203,0.32838955521583557,18.24484634399414,0.4044710695743561,37.190391540527344,19.4699649810791,0.34977394342422485,17.55649185180664,25.394325256347656,0.07111237943172455,31.142681121826172,31.527135848999023
2294,2,16,23,9,21.65390968322754,0.4303412437438965,20.20870018005371,0.39987120032310486,33.226688385009766,20.77142906188965,0.450018972158432,19.507667541503906,26.900081634521484,0.07845481485128403,31.23206901550293,33.378082275390625
2336,2,16,65,9,17.008695602416992,0.44917839765548706,17.516559600830078,0.43896159529685974,35.46125030517578,16.646936416625977,0.45962008833885193,17.08551788330078,26.449182510375977,0.0722077414393425,31.12484359741211,31.58507537841797
2388,2,16,117,28,17.39324378967285,0.4885278344154358,16.31614875793457,0.4573707580566406,32.71612548828125,16.920013427734375,0.49727433919906616,15.946812629699707,26.084196090698242,0.05265294387936592,28.297134399414062,28.570484161376953
2462,2,16,223,14,21.321413040161133,0.4114230275154114,18.69825553894043,0.36761972308158875,33.212303161621094,20.244731903076172,0.40509551763534546,17.983924865722656,25.849628448486328,0.07703360915184021,30.03839683532715,30.118404388427734
2491,2,16,252,5,25.30344009399414,0.3193158805370331,23.128225326538086,0.3330942690372467,32.45024871826172,23.375160217285156,0.323783278465271,21.785968780517578,26.722204208374023,0.07986647635698318,29.399354934692383,30.484905242919922
2582,2,16,343,9,22.764354705810547,0.42135775089263916,22.23938751220703,0.3767911493778229,29.06708526611328,21.676979064941406,0.4355333745479584,21.210826873779297,26.90641212463379,0.08623912185430527,26.541955947875977,29.39160919189453
2617,2,16,378,9,22.717016220092773,0.3779478669166565,22.023025512695312,0.387554407119751,23.596267700195312,21.77586555480957,0.3892516493797302,21.110443115234375,27.379987716674805,0.07957213371992111,22.906999588012695,29.507369995117188
2685,2,16,446,15,17.88896942138672,0.37816470861434937,18.75511932373047,0.4380810856819153,29.200695037841797,17.075525283813477,0.3868010938167572,17.72879409790039,24.01508140563965,0.08804266154766083,26.37281608581543,28.12500762939453
2743,2,16,504,19,17.5460205078125,0.5094780325889587,14.72864055633545,0.4286580979824066,28.13406753540039,17.18402671813965,0.5133470892906189,14.53760051727295,27.65983772277832,0.046805739402770996,25.9581356048584,28.506568908691406
2817,2,16,578,4,15.395060539245605,0.4770134389400482,13.766868591308594,0.5280435085296631,29.211254119873047,14.497821807861328,0.4858074188232422,13.113776206970215,22.01371955871582,0.05950562655925751,26.04489517211914,27.520965576171875
2868,2,16,661,15,23.19382667541504,0.42332544922828674,20.226896286010742,0.3702034652233124,33.4146842956543,22.08400535583496,0.4527188539505005,19.630739212036133,27.28652000427246,0.08362718671560287,31.015480041503906,32.25944900512695
2912,2,16,705,9,22.34105110168457,0.47378742694854736,22.653545379638672,0.42014700174331665,34.409793853759766,21.16168975830078,0.4913270175457001,21.35364532470703,26.087928771972656,0.08636805415153503,32.16952133178711,31.98112678527832
2956,2,16,749,15,21.398401260375977,0.40932655334472656,22.237560272216797,0.4157356321811676,22.16473388671875,20.663555145263672,0.4247052073478699,21.34210205078125,27.289323806762695,0.08621508628129959,21.746299743652344,30.7298583984375
2967,2,16,760,7,23.370153427124023,0.39597630500793457,23.594648361206055,0.38393810391426086,30.643569946289062,21.971607208251953,0.4028046131134033,22.109453201293945,26.329973220825195,0.08480755984783173,28.23040008544922,29.978666305541992
3064,2,16,857,19,15.551076889038086,0.5016739964485168,18.008644104003906,0.4944920241832733,34.285160064697266,15.193848609924316,0.5205972790718079,17.406856536865234,25.26157569885254,0.07739564031362534,29.3822078704834,30.114139556884766
3093,2,16,886,9,16.10780906677246,0.43462464213371277,17.494808197021484,0.4507516026496887,33.26316452026367,15.704083442687988,0.4635290205478668,16.949752807617188,25.426353454589844,0.0799003392457962,28.807924270629883,29.393150329589844
3147,2,16,940,9,19.711048126220703,0.410302996635437,19.3630313873291,0.42809486389160156,30.25425148010254,18.904916763305664,0.43392300605773926,18.616044998168945,25.666425704956055,0.06611311435699463,26.446884155273438,28.24355697631836
3148,2,16,941,5,20.504352569580078,0.34791994094848633,20.405593872070312,0.37196600437164307,29.333415985107422,19.58588409423828,0.38186025619506836,19.519222259521484,25.9821720123291,0.06973591446876526,26.27410888671875,28.18598175048828
3184,2,16,977,28,15.697383880615234,0.5512070655822754,14.729036331176758,0.5015649199485779,30.961618423461914,15.1851806640625,0.557809054851532,14.319326400756836,24.15033721923828,0.07820554077625275,26.986000061035156,27.698610305786133
3198,2,16,1023,5,25.908065795898438,0.3209777772426605,24.1539306640625,0.33493444323539734,35.2695198059082,23.97519874572754,0.341582715511322,22.644540786743164,27.029804229736328,0.0767916589975357,31.10530662536621,31.620616912841797
3232,2,16,1057,9,22.426315307617188,0.40238773822784424,20.829923629760742,0.3880641758441925,21.55963706970215,21.33622169494629,0.4019427001476288,20.0058536529541,26.620243072509766,0.07337309420108795,20.943477630615234,28.502971649169922
3298,2,16,1123,7,23.382572174072266,0.3903049826622009,23.860788345336914,0.367279976606369,29.567651748657227,22.038515090942383,0.39765703678131104,22.37164306640625,26.546602249145508,0.08079662919044495,26.18246841430664,27.840679168701172
3372,2,16,1197,2,20.646251678466797,0.4132155776023865,18.983362197875977,0.39423495531082153,33.452491760253906,19.637588500976562,0.4308025538921356,18.272335052490234,26.17579460144043,0.05828239023685455,27.758161544799805,28.787872314453125
